id  |               frame_id               | camera_id  |          captured_at          | x1  | y1  | x2  | y2  | confidence 
-----+--------------------------------------+------------+-------------------------------+-----+-----+-----+-----+------------
 744 | 95d1e2f1-72e3-4ecf-88be-6f07f03691c4 | cam-tcp-01 | 2026-06-15 04:13:11.835107+00 | 570 | 348 | 639 | 479 |      0.792
 743 | 95d1e2f1-72e3-4ecf-88be-6f07f03691c4 | cam-tcp-01 | 2026-06-15 04:13:11.835107+00 |  26 |  84 | 601 | 479 |     0.8917
 742 | db1454b8-4d24-462d-b501-aff54afa0f8a | cam-tcp-01 | 2026-06-15 04:13:11.636332+00 | 570 | 348 | 639 | 479 |     0.8092
 741 | db1454b8-4d24-462d-b501-aff54afa0f8a | cam-tcp-01 | 2026-06-15 04:13:11.636332+00 |  29 |  84 | 602 | 479 |     0.9003
 739 | da041856-fc33-4367-9999-56bbfce379e9 | cam-tcp-01 | 2026-06-15 04:13:11.435275+00 |  21 |  84 | 615 | 479 |       0.82
 740 | da041856-fc33-4367-9999-56bbfce379e9 | cam-tcp-01 | 2026-06-15 04:13:11.435275+00 | 569 | 349 | 639 | 479 |     0.8026
 738 | 854c621e-e616-4bda-8c91-b61b25b87d23 | cam-tcp-01 | 2026-06-15 04:13:11.234954+00 | 568 | 348 | 639 | 479 |     0.7601
 737 | 854c621e-e616-4bda-8c91-b61b25b87d23 | cam-tcp-01 | 2026-06-15 04:13:11.234954+00 |   1 |  81 | 589 | 479 |     0.8937
 736 | dbdd70b1-0fde-4368-85ce-2592c67ed5ed | cam-tcp-01 | 2026-06-15 04:13:11.032885+00 | 571 | 348 | 639 | 479 |     0.7815
 735 | dbdd70b1-0fde-4368-85ce-2592c67ed5ed | cam-tcp-01 | 2026-06-15 04:13:11.032885+00 |   3 |  81 | 631 | 480 |     0.8784
 734 | 8ebde3b2-858c-4865-af5d-641223919d51 | cam-tcp-01 | 2026-06-15 04:13:10.843833+00 | 569 | 347 | 639 | 479 |     0.8577
 733 | 8ebde3b2-858c-4865-af5d-641223919d51 | cam-tcp-01 | 2026-06-15 04:13:10.843833+00 |   9 |  80 | 611 | 479 |     0.8777
 732 | 63a1b045-be62-43a1-ba66-b5895f4dd104 | cam-tcp-01 | 2026-06-15 04:13:10.64101+00  | 566 | 348 | 639 | 479 |     0.8208
 731 | 63a1b045-be62-43a1-ba66-b5895f4dd104 | cam-tcp-01 | 2026-06-15 04:13:10.64101+00  |  14 |  82 | 593 | 479 |     0.8742
 730 | 2dc9bb91-4bd9-47f4-99dd-2597a09f2b5b | cam-tcp-01 | 2026-06-15 04:13:10.440001+00 | 565 | 346 | 639 | 479 |     0.8228
 729 | 2dc9bb91-4bd9-47f4-99dd-2597a09f2b5b | cam-tcp-01 | 2026-06-15 04:13:10.440001+00 |  13 |  84 | 601 | 479 |     0.8706
 728 | 9287466a-e65e-405a-bd70-dcdfbfe8039a | cam-tcp-01 | 2026-06-15 04:13:10.238385+00 | 566 | 346 | 639 | 479 |     0.8087
 727 | 9287466a-e65e-405a-bd70-dcdfbfe8039a | cam-tcp-01 | 2026-06-15 04:13:10.238385+00 |   5 |  83 | 590 | 479 |     0.8778
 726 | 775a9623-79a2-4e43-b57a-3ccbbc4b17f0 | cam-tcp-01 | 2026-06-15 04:13:10.034959+00 | 568 | 344 | 639 | 479 |     0.8112
 725 | 775a9623-79a2-4e43-b57a-3ccbbc4b17f0 | cam-tcp-01 | 2026-06-15 04:13:10.034959+00 |   7 |  82 | 595 | 479 |     0.8679
 723 | 4a924f54-e923-40bb-ba19-45a1cea92594 | cam-tcp-01 | 2026-06-15 04:13:09.833576+00 |  16 |  83 | 594 | 479 |     0.8496
 724 | 4a924f54-e923-40bb-ba19-45a1cea92594 | cam-tcp-01 | 2026-06-15 04:13:09.833576+00 | 568 | 344 | 639 | 479 |     0.8012
 722 | 3a7cff9d-6f13-490a-be0d-a6ff8fe59fd5 | cam-tcp-01 | 2026-06-15 04:13:09.644043+00 | 572 | 345 | 639 | 479 |     0.7951
 721 | 3a7cff9d-6f13-490a-be0d-a6ff8fe59fd5 | cam-tcp-01 | 2026-06-15 04:13:09.644043+00 |   7 |  81 | 601 | 480 |     0.8921
 720 | eb949755-1826-456b-a32c-8a4b0f30dfd3 | cam-tcp-01 | 2026-06-15 04:13:09.442612+00 | 574 | 345 | 639 | 479 |     0.7803
 719 | eb949755-1826-456b-a32c-8a4b0f30dfd3 | cam-tcp-01 | 2026-06-15 04:13:09.442612+00 |  17 |  80 | 619 | 480 |     0.8681
 717 | 1fab4a58-0b4b-4b55-b918-4994f1eed79f | cam-tcp-01 | 2026-06-15 04:13:09.228196+00 |   9 |  82 | 611 | 480 |     0.8757
 718 | 1fab4a58-0b4b-4b55-b918-4994f1eed79f | cam-tcp-01 | 2026-06-15 04:13:09.228196+00 | 574 | 346 | 639 | 479 |     0.7498
